,0_SD7449_H041_pH7,1_SD7450_H042_pH7,2_SD7451_H043_pH7,3_SD7452_H044_pH7,4_SD7453_H045_pH7,5_SD7454_H046_pH7,6_SD7455_H048_pH7,7_SD7456_H049_pH7,8_SD7458_H051_pH7,9_SD7460_H053_pH7,10_SD7461_H054_pH7,11_SD7462_H055_pH7,12_SD7463_H056_pH7,13_SD7464_H057_pH7,14_SD7465_H058_pH7,16_SD7467_H061_pH6.5,17_SD7468_H062_pH6.5,18_SD7469_H063_pH6.5,19_SD7470_H065_pH6.5,20_SD7471_H067_pH6.5,21_SD7472_H068_pH6.5,22_SD7473_H069_pH6.5,23_SD7474_H070_pH6.5,24_SD7475_H071_pH6.5,25_SD7476_H072_pH6.5,26_SD7477_H073_pH6.5,27_SD7478_H074_pH6.5,28_SD7479_H075_pH6.5,29_SD7480_H076_pH6.5,30_SD7481_H077_pH6.5,31_SD7482_H078_pH6.5,32_SD7483_H079_pH6.5,33_SD7484_H080_pH6.5,34_SD7485_H081_pH6,36_SD7487_H085_pH6,37_SD7488_H086_pH6,38_SD7489_H087_pH6,39_SD7490_H089_pH6,40_SD7491_H090_pH6,41_SD7492_H091_pH6,42_SD7493_H092_pH6,43_SD7494_H093_pH6,44_SD7495_H094_pH6,45_SD7496_H095_pH6,46_SD7497_H096_pH6,47_SD7498_H097_pH6,48_SD7499_H098_pH6,49_SD7500_H099_pH6,50_SD7501_H100_pH6,51_SD7502_H101_pH5.5,52_SD7503_H102_pH5.5,53_SD7504_H103_pH5.5,54_SD7505_H104_pH5.5,55_SD7506_H105_pH5.5,56_SD7507_H106_pH5.5,57_SD7508_H107_pH5.5,58_SD7509_H109_pH5.5,59_SD7510_H110_pH5.5,60_SD7511_H111_pH5.5,61_SD7512_H113_pH5.5,62_SD7513_H114_pH5.5,63_SD7514_H115_pH5.5,64_SD7515_H116_pH5.5,65_SD7516_H117_pH5.5,66_SD7517_H119_pH5.5,67_SD7518_H120_pH5.5,68_SD7519_S121,69_SD7520_S122,70_SD7521_S123,71_SD7522_S124,72_SD7523_S125,73_SD7524_S126,74_SD7525_S127,75_SD7526_S128,76_SD7527_S129,77_SD7528_S130,78_SD7529_S131,79_SD7530_S132,80_SD7531_S133,81_SD7532_S134,82_SD7533_S135,83_SD7534_S136,84_SD7535_S137,85_SD7536_S138,86_SD7537_S139,87_SD7538_S140,88_SD7539_S141,89_SD7540_S142,90_SD7541_S143,91_SD7542_S144,93_SD7544_S146,94_SD7545_S147,95_SD7546_S148,96_SD7547_S149,97_SD7548_S150,98_SD7549_S151,99_SD7550_S152,100_SD7551_S153,101_SD7552_S154,102_SD7553_S155,103_SD7554_S156,104_SD7555_S157,105_SD7556_S158,106_SD7557_S159,107_SD7558_S160,108_SD7559_S161,109_SD7560_S162,110_SD7561_S163,111_SD7562_S164,112_SD7563_S165,113_SD7564_S166,114_SD7565_S167,115_SD7566_S168,116_SD7567_S169,117_SD7568_S170,118_SD7569_S171,119_SD7570_S172,120_SD7571_S173,121_SD7572_S174,122_SD7573_S175
gtdb_r207_nirD,22,25,19,NA,NA,28,21,NA,24,22,22,18,NA,17,13,19,20,21,19,18,21,20,24,25,22,21,26,27,NA,23,21,22,17,25,16,17,17,24,19,20,26,22,17,20,20,23,20,18,21,15,19,22,20,19,22,21,21,18,NA,NA,NA,19,24,22,21,21,20,17,NA,18,19,NA,20,14,21,18,14,14,23,20,16,18,15,NA,NA,19,NA,NA,NA,18,NA,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,10,NA,NA,12,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
gtdb_r207_nirK,26,29,27,24,33,25,25,28,27,22,31,28,29,26,22,29,27,22,27,26,24,27,30,26,28,22,36,33,NA,29,19,32,30,30,22,22,25,21,27,25,23,21,29,28,26,25,23,31,30,33,22,23,18,37,18,19,25,22,24,26,24,23,24,23,18,23,23,22,20,23,19,21,21,20,21,19,14,18,26,21,19,24,20,21,19,20,16,21,21,27,23,17,20,15,20,18,22,27,23,23,24,23,17,13,17,15,12,17,14,13,22,24,22,19,15,NA,17,16,17,14
gtdb_r207_nirS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_nod,10,8,9,11,8,6,9,8,9,11,6,10,10,10,7,5,11,11,11,8,10,9,7,8,11,7,8,9,NA,8,12,9,11,7,10,8,9,8,10,8,8,8,10,7,9,8,8,7,8,10,6,9,8,8,8,8,9,5,8,7,8,8,8,5,7,9,9,6,6,8,5,5,7,8,8,7,5,6,8,8,8,5,6,7,9,7,6,NA,6,7,6,5,6,6,6,5,9,9,6,NA,NA,5,4,4,4,4,5,5,6,4,NA,5,4,4,5,NA,4,3,5,5
gtdb_r207_norB,14,11,13,11,NA,14,14,14,12,14,15,17,14,11,9,14,14,12,12,14,12,13,14,15,9,12,14,9,NA,9,12,14,14,13,13,13,12,14,11,15,12,16,12,17,16,13,10,15,14,10,12,12,13,12,15,11,14,10,13,12,12,13,14,13,12,15,14,11,11,14,10,12,11,12,14,12,13,10,14,12,11,12,12,11,11,11,10,NA,10,13,8,8,10,7,10,9,9,11,10,NA,NA,8,6,7,4,4,5,6,6,5,12,10,10,7,8,NA,4,5,7,6
gtdb_r207_norC,49,50,53,52,50,54,52,47,48,49,50,56,52,45,55,50,50,50,51,57,48,53,56,53,49,47,55,53,NA,50,50,50,54,49,50,50,53,50,54,58,52,49,50,58,56,53,52,53,57,47,51,45,52,58,52,49,51,45,48,47,50,53,52,52,47,49,55,48,51,54,43,54,44,44,46,42,51,47,49,49,50,45,52,52,46,39,44,39,42,50,47,38,48,36,38,48,46,51,51,52,47,39,41,41,37,38,40,40,36,37,54,45,42,41,44,36,33,34,36,39
gtdb_r207_nosZ,20,18,22,24,21,21,23,22,21,25,21,19,NA,17,14,21,26,19,19,22,23,22,20,24,19,20,23,19,NA,21,23,22,23,25,21,21,21,18,22,20,21,19,18,18,18,17,23,19,25,22,24,18,26,20,17,26,20,26,22,20,NA,19,19,25,20,20,23,25,NA,23,20,24,16,22,15,20,17,21,22,19,18,22,18,18,16,21,14,NA,17,22,23,20,21,NA,13,20,NA,22,26,19,NA,14,15,13,NA,12,10,NA,15,15,22,18,15,21,16,NA,NA,20,17,16
gtdb_r207_nrfA,10,11,8,16,14,6,15,7,15,10,13,10,7,10,10,15,12,7,16,20,9,12,9,11,13,7,20,9,NA,12,12,20,14,17,11,16,17,11,11,8,19,17,17,6,9,20,10,14,15,27,21,15,21,22,23,21,20,21,23,24,22,22,20,19,19,22,24,28,24,21,22,23,23,24,20,19,22,21,15,21,26,19,21,22,21,27,16,13,16,12,14,15,15,NA,17,18,19,15,14,NA,19,15,17,19,NA,16,18,NA,NA,16,14,NA,NA,18,15,NA,NA,14,16,19
gtdb_r207_nrfB,28,34,28,26,28,24,27,22,26,31,27,41,27,21,27,20,28,30,31,28,22,27,28,28,26,25,29,27,NA,29,30,28,29,29,28,31,28,29,27,26,36,36,31,33,23,32,28,29,35,31,29,28,37,31,30,26,28,29,30,27,35,32,26,30,25,25,28,33,27,30,25,25,19,28,28,21,24,27,33,30,35,31,29,24,30,24,18,NA,18,23,12,24,16,NA,17,16,16,24,22,26,21,17,14,12,NA,13,11,11,13,16,22,21,NA,16,16,NA,NA,9,10,9
gtdb_r207_nrfC,59,50,58,59,58,59,53,57,61,59,58,60,57,53,52,54,60,50,55,60,52,55,59,58,54,61,57,57,NA,54,57,51,58,55,60,49,52,52,55,60,52,51,53,51,56,55,57,58,57,54,57,50,56,56,49,50,48,52,62,47,58,58,49,55,51,55,57,41,44,48,46,51,46,45,46,48,45,46,48,47,48,47,45,44,39,42,38,33,38,50,37,39,39,33,40,34,38,47,46,49,45,43,35,33,26,36,35,30,39,35,54,43,44,31,37,37,32,35,32,35
gtdb_r207_nrfD,14,11,18,NA,NA,12,NA,NA,15,14,NA,14,NA,11,14,NA,18,10,NA,14,NA,14,10,14,11,14,18,15,NA,19,NA,16,15,11,11,16,14,13,16,16,14,12,12,8,11,13,14,17,15,15,14,10,10,15,11,13,16,12,11,14,14,11,16,19,14,13,11,12,12,14,9,7,16,12,15,14,12,16,13,15,12,12,14,12,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_nrfH,36,29,25,30,24,31,31,29,27,28,27,26,31,27,30,23,31,23,32,30,29,31,26,28,25,26,34,28,NA,28,31,31,33,24,30,30,28,33,26,36,34,34,27,25,25,31,29,31,35,27,25,28,28,31,31,32,28,30,33,29,28,28,29,35,28,24,33,27,28,24,16,21,24,25,23,22,23,25,31,25,25,19,23,25,22,21,22,NA,25,26,25,22,28,NA,15,24,23,36,31,31,NA,26,NA,12,NA,17,15,NA,23,21,27,24,25,24,22,NA,NA,15,26,26
gtdb_r207_vnfD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_vnfG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
gtdb_r207_vnfH,49,54,49,47,45,41,54,49,44,50,50,55,59,47,43,49,50,42,57,48,50,39,43,40,52,38,50,48,NA,45,49,48,43,49,43,37,45,41,47,48,54,49,47,55,45,47,42,46,42,41,43,33,40,41,38,46,36,34,39,38,48,42,46,43,38,44,34,33,26,43,37,38,34,43,39,39,36,35,41,31,37,31,37,33,33,47,45,35,33,48,40,39,44,39,33,38,46,43,45,43,41,37,32,26,33,33,28,38,31,37,49,34,40,32,34,34,40,25,32,37
gtdb_r207_vnfK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
read_pair_count,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
